OBJET,CORRESPONDANCE,DESCRIPTION
v9387863,miniClockTimeVerticalElement,Heure mini horloge vertical
v9400463,weatherWidgetHorizontalElement,Widget météo horizontal
v9400563,appLogoVerticalElement,Logo application vertical
v9442963,azkarClockVerticalElement,Horloge adhkar vertical
v9443063,azkarClockHorizontalElement,Horloge adhkar horizontal
v9429563,slidesClockVerticalElement,Horloge slides vertical
v9429663,slidesClockHorizontalElement,Horloge slides horizontal
v9429763,picture5minClockVerticalElement,Horloge image 5min vertical
v9429863,picture5minClockHorizontalElement,Horloge image 5min horizontal
v9400663,inputDialogElement,Boîte de dialogue de saisie (ID)
v9374263,inputDialogMessageElement,Message boîte de dialogue (ID)
v9374363,inputDialogInputElement,Champ de saisie boîte de dialogue (ID)
v9339363,countryListContainerElement,Conteneur liste des pays
v9362363,cityListContainerElement,Conteneur liste des villes
v9339463,countryButtonElement,Bouton pays
v9362463,cityButtonElement,Bouton ville
v9495963,prayerNameFajrVerticalSpanElement,Span nom Fajr vertical
v9496063,prayerNameShrqVerticalSpanElement,Span nom Shuruq vertical
v9496163,prayerNameDohrVerticalSpanElement,Span nom Dohr vertical
v9496263,prayerNameAsrVerticalSpanElement,Span nom Asr vertical
v9496363,prayerNameMgrbVerticalSpanElement,Span nom Maghrib vertical
v9496463,prayerNameIshaVerticalSpanElement,Span nom Isha vertical
v9496563,azanTimeFajrVerticalSpanElement,Span heure adhan Fajr vertical
v9496663,azanTimeShrqVerticalSpanElement,Span heure Shuruq vertical
v9496763,azanTimeDohrVerticalSpanElement,Span heure adhan Dohr vertical
v9496863,azanTimeAsrVerticalSpanElement,Span heure adhan Asr vertical
v9496963,azanTimeMgrbVerticalSpanElement,Span heure adhan Maghrib vertical
v9497063,azanTimeIshaVerticalSpanElement,Span heure adhan Isha vertical
v9469063,prayerNameFajrHorizontalSpanElement,Span nom Fajr horizontal
v9469163,prayerNameShrqHorizontalSpanElement,Span nom Shuruq horizontal
v9469263,prayerNameDohrHorizontalSpanElement,Span nom Dohr horizontal
v9469363,prayerNameAsrHorizontalSpanElement,Span nom Asr horizontal
v9469463,prayerNameMgrbHorizontalSpanElement,Span nom Maghrib horizontal
v9469563,prayerNameIshaHorizontalSpanElement,Span nom Isha horizontal
v9457063,azanTimeFajrHorizontalSpanElement,Span heure adhan Fajr horizontal
v9457163,azanTimeShrqHorizontalSpanElement,Span heure Shuruq horizontal
v9457263,azanTimeDohrHorizontalSpanElement,Span heure adhan Dohr horizontal
v9457363,azanTimeAsrHorizontalSpanElement,Span heure adhan Asr horizontal
v9457463,azanTimeMgrbHorizontalSpanElement,Span heure adhan Maghrib horizontal
v9457563,azanTimeIshaHorizontalSpanElement,Span heure adhan Isha horizontal
v9362563,fileInputElementHidden,Input fichier caché
v9469663,prayerNameFajrMiniHorizontalElement,Span nom Fajr mini horizontal
v9469663,prayerNameFajrMiniHorizontalElement,Span nom Fajr mini horizontal
v9469663,prayerNameFajrMiniHorizontalElement,Span nom Fajr mini horizontal
v9469763,prayerNameShrqMiniHorizontalElement,Span nom Shuruq mini horizontal
v9469863,prayerNameDohrMiniHorizontalElement,Span nom Dohr mini horizontal
v9469963,prayerNameAsrMiniHorizontalElement,Span nom Asr mini horizontal
v9470063,prayerNameMgrbMiniHorizontalElement,Span nom Maghrib mini horizontal
v9470163,prayerNameIshaMiniHorizontalElement,Span nom Isha mini horizontal
v9470263,prayerTimeFajrMiniHorizontalSpanElement,Span heure Fajr mini horizontal
v9470363,prayerTimeShrqMiniHorizontalSpanElement,Span heure Shuruq mini horizontal
v9470463,prayerTimeDohrMiniHorizontalSpanElement,Span heure Dohr mini horizontal
v9470563,prayerTimeAsrMiniHorizontalSpanElement,Span heure Asr mini horizontal
v9470663,prayerTimeMgrbMiniHorizontalSpanElement,Span heure Maghrib mini horizontal
v9470763,prayerTimeIshaMiniHorizontalSpanElement,Span heure Isha mini horizontal
v9429963,audioAzanMainElement,Élément audio adhan principal
v9430063,audioFajrAzanElement,Élément audio adhan Fajr
v9362663,audioShortAzanElementVar,Variable élément audio adhan court
v9352063,audioShortIqamaElementVar,Variable élément audio iqama court
v9414263,audioBeepElementVar,Variable élément audio bip
v9443163,audioTeetElementVar,Variable élément audio teet
v9400763,audioAlert1ElementVar,Variable élément audio alerte 1
v9400863,audioDrop1ElementVar,Variable élément audio drop 1
v9400963,audioDrop3ElementVar,Variable élément audio drop 3
v9387963,audioAlertsElementVar,Variable élément audio alertes multiples
v9470863,prayerNameFajrMiniVerticalElement,Span nom Fajr mini vertical
v9470963,prayerNameShrqMiniVerticalElement,Span nom Shuruq mini vertical
v9471063,prayerNameDohrMiniVerticalElement,Span nom Dohr mini vertical
v9471163,prayerNameAsrMiniVerticalElement,Span nom Asr mini vertical
v9471263,prayerNameMgrbMiniVerticalElement,Span nom Maghrib mini vertical
v9471363,prayerNameIshaMiniVerticalElement,Span nom Isha mini vertical
v9471463,prayerTimeFajrMiniVerticalSpanElement,Span heure Fajr mini vertical
v9471563,prayerTimeShrqMiniVerticalSpanElement,Span heure Shuruq mini vertical
v9471663,prayerTimeDohrMiniVerticalSpanElement,Span heure Dohr mini vertical
v9471763,prayerTimeAsrMiniVerticalSpanElement,Span heure Asr mini vertical
v9471863,prayerTimeMgrbMiniVerticalSpanElement,Span heure Maghrib mini vertical
v9471963,prayerTimeIshaMiniVerticalSpanElement,Span heure Isha mini vertical
v9484163,bodyElement,Élément body (ID)
v9497163,iqamaTimeFajrVerticalSpanElement,Span heure iqama Fajr vertical
v9497263,iqamaTimeShrqVerticalSpanElement,Span heure iqama Shuruq vertical
v9497363,iqamaTimeDohrVerticalSpanElement,Span heure iqama Dohr vertical
v9497463,iqamaTimeAsrVerticalSpanElement,Span heure iqama Asr vertical
v9497563,iqamaTimeMgrbVerticalSpanElement,Span heure iqama Maghrib vertical
v9497663,iqamaTimeIshaVerticalSpanElement,Span heure iqama Isha vertical
v9484263,iqamaTimeFajrHorizontalSpanElement,Span heure iqama Fajr horizontal
v9484363,iqamaTimeShrqHorizontalSpanElement,Span heure iqama Shuruq horizontal
v9484463,iqamaTimeDohrHorizontalSpanElement,Span heure iqama Dohr horizontal
v9484563,iqamaTimeAsrHorizontalSpanElement,Span heure iqama Asr horizontal
v9484663,iqamaTimeMgrbHorizontalSpanElement,Span heure iqama Maghrib horizontal
v9484763,iqamaTimeIshaHorizontalSpanElement,Span heure iqama Isha horizontal
v9443263,tawkitNameHorizontalElement,Élément nom Tawkit horizontal
v9443363,cityCodeHorizontalElement,Élément code ville horizontal
v9430163,aboutPopupElement,Popup À propos (ID)
v9330763,aboutAppTitleElement,Titre application À propos
v9414363,weatherTempVerticalElement,Température météo vertical
v9401063,weatherIconVerticalElement,Icône météo vertical
v9401163,weatherIconHorizontalElement,Icône météo horizontal
v9414463,weatherTempHorizontalElement,Température météo horizontal
v9430263,weatherMinMaxHorizontalElement,Températures min/max horizontal
v9430363,weatherMinMaxVerticalElement,Températures min/max vertical
v9374463,mobileAlertButtonElement,Bouton alerte mobile (ID)
v9457663,internetStatusHorizontalElement,Statut Internet horizontal
v9457763,internetStatusVerticalElement,Statut Internet vertical
v9414563,dateDisplayVerticalElement,Élément date vertical
v9414663,cityCodeVerticalElement,Élément code ville vertical
v9388063,aboutDescriptionElement,Description À propos
v9352163,aboutExtraInfoElement,Info supplémentaire À propos
v9352263,creditsContentElement,Contenu crédits
v9443463,locationLoadingIndicator,Indicateur de chargement localisation
v9401263,slidesTableBody,Corps du tableau des slides
v9457863,messagesTableBody,Corps du tableau des messages
v9362763,remindersTableBody,Corps du tableau des rappels
v9430463,currentThemeDisplayElement,Affichage thème actuel
v9401363,appLogoHorizontalElement,Logo application horizontal
v9401463,jomoaCounterHorizontalElement,Compteur Jomoaa horizontal
v9401563,nextPrayerCounterHorizontalElement,Compteur prochaine prière horizontal
v9457963,iqamaCounterTimeVerticalElement,Temps compteur iqama vertical
v9458063,iqamaCounterTimeHorizontalElement,Temps compteur iqama horizontal
v9388163,unusedElementVar,Variable élément non utilisé
v9458163,gpsPositionDisplayElement,Affichage position GPS
v9374563,dohaTimeHorizontalElement,Heure Doha horizontal
v9374663,dohaTimeVerticalElement,Heure Doha vertical
v9335563,dateTextSpanHorizontalElement,Span texte date horizontal
v9362863,nextPrayerLabelHorizontalElement,Label prochaine prière horizontal
v9362963,nextPrayerLabelVerticalElement,Label prochaine prière vertical
v9374763,jomoaLabelHorizontalElement,Label Jomoaa horizontal
v9363063,secondJomoaDisplayHorizontal,Affichage deuxième Jomoaa horizontal
v9374863,azanPopupTitleVerticalElement,Titre popup adhan vertical
v9374963,azanPopupTitleHorizontalElement,Titre popup adhan horizontal
v9458263,iqamaCounterLabelVerticalElement,Label compteur iqama vertical
v9458363,iqamaCounterLabelHorizontalElement,Label compteur iqama horizontal
v9458463,prayerNameFajrAdjustElement,Élément nom Fajr ajustements
v9458563,prayerNameShrqAdjustElement,Élément nom Shuruq ajustements
v9458663,prayerNameDohrAdjustElement,Élément nom Dohr ajustements
v9472063,prayerNameAsrAdjustElement,Élément nom Asr ajustements
v9414863,prayerNameMgrbAdjustElement,Élément nom Maghrib ajustements
v9458763,prayerNameIshaAdjustElement,Élément nom Isha ajustements
v9497763,themeSaturdayCellElement,Cellule thème Samedi
v9497863,themeFajrCellElement,Cellule thème Fajr
v9497963,themeShrqCellElement,Cellule thème Shuruq
v9498063,themeDohrCellElement,Cellule thème Dohr
v9498163,themeAsrCellElement,Cellule thème Asr
v9498263,themeMgrbCellElement,Cellule thème Maghrib
v9498363,themeIshaCellElement,Cellule thème Isha
v9498463,themeSundayCellElement,Cellule thème Dimanche
v9498563,themeMondayCellElement,Cellule thème Lundi
v9498663,themeTuesdayCellElement,Cellule thème Mardi
v9498763,themeWednesdayCellElement,Cellule thème Mercredi
v9498863,themeThursdayCellElement,Cellule thème Jeudi
v9498963,themeFridayCellElement,Cellule thème Vendredi
v9363163,fullScreenButtonElement,Bouton plein écran
v9414963,menuVersionDisplayElement,Affichage version menu
v9335663,durationFajrValueElement,Affichage durée Fajr
v9335763,durationDohrValueElement,Affichage durée Dohr
v9339563,durationAsrValueElement,Affichage durée Asr
v9329763,durationMgrbValueElement,Affichage durée Maghrib
v9335863,durationIshaValueElement,Affichage durée Isha
v9345763,dimmerBeforeValueElement,Affichage valeur dimmer avant
v9352363,dimmerAfterValueElement,Affichage valeur dimmer après
v9352463,alertToastElement,Élément toast d'alerte
v9443563,autoStartContainerElement,Conteneur Auto-Start
v9415063,autoStartCheckboxElement,Checkbox Auto-Start
v9415163,autoStartLabelElement,Label Auto-Start
v9363263,athanFajrValueElement,Affichage valeur athan Fajr
v9363363,athanShrqValueElement,Affichage valeur athan Shuruq
v9363463,athanDohrValueElement,Affichage valeur athan Dohr
v9375063,athanAsrValueElement,Affichage valeur athan Asr
v9339663,athanMgrbValueElement,Affichage valeur athan Maghrib
v9363563,athanIshaValueElement,Affichage valeur athan Isha
v9430563,nightPrayersContainerVerticalElement,Conteneur prières de nuit vertical
v9388263,midnightTimeVerticalElement,Heure minuit vertical
v9388363,lastThirdTimeVerticalElement,Heure dernier tiers vertical
v9401663,tomorrowFajrTimeVerticalElement,Heure Fajr demain vertical
v9430663,nightPrayersContainerHorizontalElement,Conteneur prières de nuit horizontal
v9388463,midnightTimeHorizontalElement,Heure minuit horizontal
v9388563,lastThirdTimeHorizontalElement,Heure dernier tiers horizontal
v9401763,tomorrowFajrTimeHorizontalElement,Heure Fajr demain horizontal
v9324763,decodedStringVar,Chaîne décodée
v9415263,setFontRadioButtonsFunction,Fonction pour cocher les radios des polices
v9415363,applyThemeFunction,Fonction pour appliquer un thème
v9352563,isThemeChangeWithTransition,Drapeau pour transition de thème
v9443663,themeColorsString,Chaîne des couleurs du thème
v9415463,isVrThemeSpecial,Drapeau pour thème VR spécial
v9388663,isLightTheme,Drapeau pour thème clair
v9388763,specialVrThemesList,Liste des thèmes VR spéciaux
v9388863,specialThemeIndices,Indices des thèmes spéciaux
v9388963,lightThemeIndices,Indices des thèmes clairs
v9389063,otherSpecialThemes,Autres thèmes spéciaux
v9329863,isHorizontalOrientation,Drapeau orientation horizontale
v9389163,userUploadedImages,Tableau des images uploadées par l'utilisateur
v9430763,currentBackgroundUrl,URL de l'arrière-plan actuel
v9415563,currentThemeIndex,Index du thème actuel
v9443763,azkarFolderPath,Chemin du dossier adhkar
v9443863,slidesFolderPath,Chemin du dossier slides
v9415663,applyHrLayoutFunction,Fonction pour appliquer la disposition HR
v9430863,lineBreakOrSpace,Espace ou saut de ligne
v9484863,classicVrClass,Classe pour VR classique
v9484963,specialVrClass,Classe pour VR spécial
v9458863,currentDayName,Nom du jour actuel
v9401863,cityCodeDisplayString,Chaîne d'affichage du code ville
v9345863,currentBackgroundImageUrl,URL de l'image d'arrière-plan actuelle
v9443963,backgroundFadeInClass,Classe pour fondu entrant de l'arrière-plan
v9363663,clearBackgroundTransitionFunction,Fonction pour nettoyer la transition d'arrière-plan
v9444263,backgroundFadeOutClass,Classe pour fondu sortant
v9375163,clockColor,Couleur de l'horloge
v9339763,salatColor,Couleur des prières
v9345963,lowerColor,Couleur inférieure
v9363863,bgTubeColor,Couleur du tube d'arrière-plan
v9332963,updateNextPrayerDisplayFunction,Fonction pour mettre à jour l'affichage de la prochaine prière
v9363963,updateMosqueAndDateDisplayFunction,Fonction pour mettre à jour l'affichage mosquée/date
v9327463,updateBigNextPrayCounterFunction,Fonction pour mettre à jour le grand compteur
v9444163,setThemeFunction,Fonction pour définir le thème
v9499063,themeIndexParam,Paramètre index du thème
v9401963,withTransitionParam,Paramètre avec transition
v9415763,saveSettingsToStorageFunction,Fonction pour sauvegarder les paramètres
v9375263,addAboutMenuItemFunction,Fonction pour ajouter l'élément de menu À propos
v9472163,showAboutPopupWrapper,Wraper pour afficher la popup À propos
v9499163,decodeHexStringFunction,Fonction pour décoder une chaîne hexadécimale
v9330863,encodedString1,Chaîne encodée 1
v9506863,aboutMenuItemElement,Élément de menu À propos
v9444363,divTagName,Chaîne 'div'
v9458963,bulletPointSymbol,Symbole puce
v9415863,versionDisplayElement,Élément d'affichage de la version
v9346063,versionDisplayId,ID de l'affichage de la version
v9444463,setUploadInfoMessageFunction,Fonction pour définir le message d'info upload
v9472263,uploadMessage,Message d'upload
v9389263,storageKeysArray,Tableau des clés de stockage
v9375363,saveImageToStorageFunction,Fonction pour sauvegarder une image dans le stockage
v9459063,imageFile,Fichier image
v9389363,storageKey,Clé de stockage
v9444563,imageIndex,Index de l'image
v9459163,fileReader,Objet FileReader
v9459263,imageDataUrl,URL de données de l'image
v9364063,updateStorageInfoFunction,Fonction pour mettre à jour les infos de stockage
v9430963,handleImageUploadFunction,Fonction pour gérer l'upload d'image
v9431063,imageStorageKey,Clé de stockage de l'image
v9402063,selectedFile,Fichier sélectionné
v9361063,removeUploadedImageFunction,Fonction pour supprimer une image uploadée
v9352663,updateFixedTimesDisplayFunction,Fonction pour mettre à jour l'affichage des heures fixes
v9472363,jomoaFixedTimeButtonElement,Bouton heure fixe Jomoaa
v9472463,fixedIqamaFajrButtonElement,Bouton iqama fixe Fajr
v9472563,fixedIqamaDohrButtonElement,Bouton iqama fixe Dohr
v9472663,fixedIqamaAsrButtonElement,Bouton iqama fixe Asr
v9472763,fixedIqamaIshaButtonElement,Bouton iqama fixe Isha
v9364163,showInitialMessagesFunction,Fonction pour afficher les messages initiaux
v9472863,isTestModeActive,Drapeau mode test actif
v9325863,showMessagePopupFunction,Fonction pour afficher un message popup
v9330963,encodedString2,Chaîne encodée 2
v9346163,isInputDialogOpen,Drapeau boîte de dialogue ouverte
v9335963,inputDialogValue,Valeur de la boîte de dialogue
v9375463,openInputDialogFunction,Fonction pour ouvrir la boîte de dialogue
v9389463,jomoaFixedTime,Heure fixe de Jomoaa
v9331063,updateAthanIqamaDisplayFunction,Fonction pour mettre à jour l'affichage athan/iqama
v9336063,calculateAndDisplayTimesFunction,Fonction pour calculer et afficher les horaires
v9364263,prayerNamesArray,Tableau des noms des prières
v9339863,populateCountryListFunction,Fonction pour peupler la liste des pays
v9415963,countryOptionsHtml,HTML des options de pays
v9416063,cityCodeParts,Parties du code ville
v9416163,capitalizeFirstLetterFunction,Fonction pour capitaliser la première lettre
v9459363,countryDataParts,Parties des données du pays
v9444663,countryCode,Code du pays
v9444763,countryName,Nom du pays
v9375563,loadCountryCitiesFunction,Fonction pour charger les villes d'un pays
v9485063,selectedCountryCode,Code du pays sélectionné
v9416263,hideElementByIdFunction,Fonction pour cacher un élément par ID
v9459463,selectCityFunction,Fonction pour sélectionner une ville
v9459563,cacheBustingTimestamp,Timestamp pour éviter le cache
v9402163,countryDataScriptUrl,URL du script de données du pays
v9431163,countryScriptElement,Élément script pour les données du pays
v9389563,onCountryDataLoadSuccess,Callback succès chargement données pays
v9389663,onCountryDataLoadError,Callback erreur chargement données pays
v9485163,cityNamePart,Partie du nom de la ville
v9459663,cityDataLowercase,Données de la ville en minuscules
v9402263,cityCode,Code de la ville
v9444863,cityDisplayName,Nom d'affichage de la ville
v9485263,selectedCityCode,Code de la ville sélectionnée
v9459763,timestampParam,Paramètre timestamp
v9499263,cityCodePartsArray,Tableau des parties du code ville
v9472963,prayerTimesScriptUrl,URL du script des horaires de prière
v9444963,timesScriptElement,Élément script pour les horaires
v9499363,selectedLanguageCode,Code de langue sélectionné
v9352763,restartApplicationReload,Fonction pour redémarrer l'application (rechargement)
v9499463,languageSpanElement,Élément span de la langue
v9499563,forcedVerticalModeParam,Paramètre mode vertical forcé
v9364363,blackScreenCountdown,Compte à rebours écran noir
v9352863,animateBlackScreenCountdown,Fonction pour animer le compte à rebours écran noir
v9416363,startIqamaSequenceFunction,Fonction pour démarrer la séquence iqama
v9327563,prayerDurationMinutes,Durée de la prière en minutes
v9402363,showElementWithTransitionFunction,Fonction pour afficher un élément avec transition
v9324363,onIqamaEndFunction,Fonction exécutée à la fin de l'iqama
v9324663,isAzkarMain,Drapeau pour adhkar principaux
v9346263,decideNextAzkarOrSlideFunction,Fonction pour décider de l'action après adhkar
v9352963,stopAzkarFlag,Drapeau pour arrêter les adhkar
v9346363,stopSlidesFlag,Drapeau pour arrêter les slides
v9364463,decodedStringDisplayElement,Élément d'affichage de la chaîne décodée
v9459863,decodedStringDisplayId,ID de l'affichage de la chaîne décodée
v9364563,showAzkarDisplayFunction,Fonction pour afficher les adhkar
v9416463,prepareAzkarDisplayFunction,Fonction pour préparer l'affichage des adhkar
v9402563,showFullScreenElementFunction,Fonction pour afficher un élément en plein écran
v9353063,hideAzkarDisplayFunction,Fonction pour cacher l'affichage des adhkar
v9402663,hideFullScreenElementFunction,Fonction pour cacher un élément plein écran
v9416563,cleanupAzkarDisplayFunction,Fonction pour nettoyer l'affichage adhkar
v9333063,isBigCounterActive,Drapeau grand compteur actif
v9340063,showPrayerTimesOverlayFunction,Fonction pour afficher la surcouche des horaires
v9346463,isFullScreenCounterActive,Drapeau compteur plein écran actif
v9340163,hidePrayerTimesOverlayFunction,Fonction pour cacher la surcouche des horaires
v9375763,showSlidesDisplayFunction,Fonction pour afficher les slides
v9389763,hideSlidesDisplayFunction,Fonction pour cacher les slides
v9340263,buildAzkarArraysFunction,Fonction pour construire les tableaux d'adhkar
v9499763,azkarBlockString,Chaîne d'un bloc d'adhkar
v9375863,sourceAzkarArray,Tableau source des adhkar
v9499863,azkarLine,Ligne d'adhkar
v9364663,mainAzkarArray,Tableau des adhkar principaux
v9389863,sabahAzkarArray,Tableau des adhkar du matin
v9389963,masaaAzkarArray,Tableau des adhkar du soir
v9402763,startAzkarSequenceFunction,Fonction pour démarrer la séquence d'adhkar
v9473063,azkarArrayToDisplay,Tableau d'adhkar à afficher
v9333163,isMainAzkar,Drapeau pour adhkar principaux
v9375963,isSabahAzkar,Drapeau pour adhkar du matin
v9402863,currentAzkarIndex,Index actuel dans le tableau d'adhkar
v9402963,azkarDisplayArray,Tableau d'adhkar en cours d'affichage
v9331163,azkarDisplayInterval,Intervalle d'affichage des adhkar
v9353163,isSabahFlag,Drapeau pour adhkar Sabah
v9340363,displayNextAzkarFunction,Fonction pour afficher l'adhkar suivant
v9431263,skipEmptyAzkar,Drapeau pour sauter les adhkar vides
v9445163,currentAzkarText,Texte de l'adhkar actuel
v9473363,azkarTextLength,Longueur du texte de l'adhkar
v9326563,countArabicCharactersFunction,Fonction pour compter les caractères arabes
v9390163,azkarFontSize,Taille de police pour adhkar
v9331263,calculateFontSizeFunction,Fonction pour calculer la taille de police
v9459963,textLength,Longueur du texte
v9431363,maxTextLength,Longueur maximale du texte
v9431463,minTextLength,Longueur minimale du texte
v9473463,maxFontSize,Taille de police maximale
v9473563,minFontSize,Taille de police minimale
v9485363,azkarFontSizeVr,Taille police adhkar VR
v9485463,azkarFontSizeHr,Taille police adhkar HR
v9485563,fontSizeUnit,Unité de taille de police (vw/vh)
v9403063,fadeInAzkarTextFunction,Fonction pour faire apparaître le texte adhkar
v9390263,fadeOutAzkarTextFunction,Fonction pour faire disparaître le texte adhkar
v9403263,fadeInElementFunction,Fonction pour faire apparaître un élément
v9403363,fadeOutElementFunction,Fonction pour faire disparaître un élément
v9416663,setElementAttributeFunction,Fonction pour définir un attribut d'élément
v9460063,attributeName,Nom de l'attribut
v9460163,attributeValue,Valeur de l'attribut
v9353463,clampSlidesViewTimeFunction,Fonction pour limiter les temps d'affichage slides
v9390763,slidesTextVerticalElement,Texte slides vertical
v9390863,slidesTextHorizontalElement,Texte slides horizontal
v9353263,slidesDisplayActive,Drapeau affichage slides actif
v9340463,displayNextSlideFunction,Fonction pour afficher la slide suivante
v9473663,currentSlideText,Texte de la slide actuelle
v9431563,slideViewTimeMs,Temps d'affichage slide en ms
v9431663,tawkitViewTimeMs,Temps d'affichage Tawkit en ms
v9445263,isImageSlide,Drapeau pour slide image
v9445363,isUrlSlide,Drapeau pour slide URL
v9460263,slideBackgroundCss,CSS d'arrière-plan de la slide
v9340563,slidesFontSize,Taille de police slides
v9375663,startAzkarMainSequenceFunction,Fonction pour démarrer la séquence d'adhkar principaux
v9333263,showAzkar5minPictureFunction,Fonction pour afficher l'image 5min adhkar
v9390963,showSemiTransparentElementFunction,Fonction pour afficher un élément semi-transparent
v9402463,startSlidesSequenceFunction,Fonction pour démarrer la séquence slides
v9340663,isFullScreenCounterMode,Drapeau mode compteur plein écran
v9346563,hideIqamaCounterFunction,Fonction pour cacher le compteur iqama
v9325363,activateBlackScreenIfEnabled,Fonction pour activer l'écran noir si activé
v9499963,nightPrayersClickCounter,Compteur de clics prières de nuit
v9416763,setElementAttribute2Function,Fonction pour définir un attribut d'élément (2)
v9506963,elementIdParam,Paramètre ID d'élément
v9403463,showElementBlockFunction,Fonction pour afficher un élément en block
v9416863,hideElementDisplayFunction,Fonction pour cacher un élément (display none)
v9416963,circleProgressPercent,Pourcentage de progression du cercle
v9376063,isLastMinuteCounter,Drapeau compteur dernière minute
v9364863,fullClockSecondsVertical,Secondes horloge complète vertical
v9364963,fullClockSecondsHorizontal,Secondes horloge complète horizontal
v9353563,miniClockSecondsVertical,Secondes mini horloge vertical
v9353663,miniClockSecondsHorizontal,Secondes mini horloge horizontal
v9403563,fullClockAmPmVertical,AM/PM horloge complète vertical
v9403663,fullClockAmPmHorizontal,AM/PM horloge complète horizontal
v9346663,currentDateString,Chaîne de la date actuelle
v9460363,specificSecondsTrigger,Secondes spécifiques pour déclenchement
v9403763,numbersAsStringsArray,Tableau de nombres sous forme de chaînes
v9417063,currentDateObject,Objet Date actuel
v9328363,allowedHourAdjustments,Tableau des ajustements d'heures autorisés
v9510663,currentSeconds,Secondes actuelles
v9376163,isSpecialTriggerActive,Drapeau déclencheur spécial actif
v9445463,formattedSeconds,Secondes formatées
v9431763,convertToArabicDigitsFunction,Fonction pour convertir en chiffres arabes
v9391063,isAzanPopupVisible,Drapeau popup adhan visible
v9391163,azanPopupTimeVerticalElement,Heure popup adhan vertical
v9391263,azanPopupTimeHorizontalElement,Heure popup adhan horizontal
v9431863,currentTimeFormatted,Heure actuelle formatée
v9340763,isIqamaCounterActive,Drapeau compteur iqama actif
v9336163,remainingSeconds,Secondes restantes
v9326663,totalCounterSeconds,Total des secondes du compteur
v9473763,remainingMinutes,Minutes restantes
v9473863,remainingSecondsPart,Partie secondes restantes
v9376263,isDohaCounter,Drapeau compteur Doha
v9326763,isCounterColorAlert,Drapeau alerte couleur compteur
v9340863,resetPrayerRowsStyleFunction,Fonction pour réinitialiser le style des lignes de prière
v9445563,amSymbolHtml,HTML du symbole AM
v9445663,pmSymbolHtml,HTML du symbole PM
v9325963,dohaMinutesAfterShrq,Minutes après Shuruq pour Doha
v9326063,ishaScreenSaverOffset,Décalage économiseur Isha
v9326163,blackScreenOffsetBeforeIsha,Décalage écran noir avant Isha
v9326263,blackScreenOffsetBeforeDoha,Décalage écran noir avant Doha
v9331363,midnightCounter,Compteur de minuit
v9353763,isFriday,Drapeau jour vendredi
v9346863,skipPrayerTimeChecks,Drapeau pour ignorer les vérifications d'heures de prière
v9445763,nowDateObject,Objet Date maintenant
v9510763,currentHours,Heures actuelles
v9510863,currentMinutes,Minutes actuelles
v9473963,hoursForAmPm,Heures pour format AM/PM
v9474063,minutesFormatted,Minutes formatées
v9474163,timeString24,Chaîne heure 24h
v9431963,timeStringAmPm,Chaîne heure AM/PM
v9445863,amPmSymbol,Symbole AM/PM
v9391363,todayDateString,Chaîne date du jour
v9444063,currentTimeInMinutes,Temps actuel en minutes
v9327663,counterForDohaTimeDisplay,Compteur pour affichage heure Doha
v9365063,checkForTawkitDisplayUpdate,Fonction pour vérifier la mise à jour de l'affichage Tawkit
v9445963,currentDayIndex,Index du jour actuel (0-6)
v9485763,shuruqTimeInMinutes,Heure de Shuruq en minutes
v9485863,dohrTimeInMinutes,Heure de Dohr en minutes
v9485963,ishaTimeInMinutes,Heure de Isha en minutes
v9486063,fajrTimeInMinutes,Heure de Fajr en minutes
v9486163,asrTimeInMinutes,Heure de Asr en minutes
v9486263,maghribTimeInMinutes,Heure de Maghrib en minutes
v9376363,startIqamaCounterFunction,Fonction pour démarrer le compteur iqama
v9475063,iqamaMinutes,Minutes d'iqama
v9475163,prayerDuration,Durée de la prière
v9336963,forcedCounterSeconds,Secondes forcées pour le compteur
v9404763,currentSecondsComp,Secondes actuelles pour compensation
v9333663,iqamaMinutesParam,Paramètre minutes iqama
v9392263,calculateNightPrayersFunction,Fonction pour calculer les prières de nuit
v9501463,tomorrowDateObject,Objet Date pour demain
v9461363,tomorrowDayIndex,Index du jour de demain
v9447663,currentYear,Année actuelle
v9507463,currentMonthPadded,Mois actuel avec zéro
v9507363,currentDatePadded,Jour actuel avec zéro
v9461463,fajrTimeString,Chaîne heure Fajr
v9461563,maghribTimeString,Chaîne heure Maghrib
v9333963,isSummerTimeAdjustment,Drapeau ajustement heure d'été
v9392463,timesDataString,Chaîne de données des horaires
v9392563,timesDataParts,Parties des données d'horaires
v9341763,prayerTimesArray,Tableau des horaires de prière
v9354863,tomorrowFajrTimeAdjusted,Heure Fajr demain ajustée
v9354963,tomorrowMaghribTimeAdjusted,Heure Maghrib demain ajustée
v9475263,tomorrowMonth,Mois de demain
v9475363,tomorrowDate,Jour de demain
v9330163,isSpecialSummerTimeCase,Cas spécial heure d'été
v9418363,tomorrowFajrMinutes,Minutes de Fajr demain
v9418463,midnightMinutesCalc,Calcul minutes minuit
v9448163,lastThirdMinutesCalc,Calcul minutes dernier tiers
v9403963,midnightTimeInMinutes,Heure de minuit en minutes
v9404063,lastThirdTimeInMinutes,Heure du dernier tiers en minutes
v9418563,midnightTimeFormatted,Heure de minuit formatée
v9418663,lastThirdTimeFormatted,Heure du dernier tiers formatée
